Index,nPixels,maxDist,Ecc
102,1.58022991782945e-7,5.696326663616932e-4,6.450885982638119
23,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
12,5.5673580734916574e-8,3.063621779649871e-4,5.296280948324621
110,2.9692576391955504e-8,2.0399655806127416e-4,4.402989703894793
14,4.875656009815421e-8,3.6198030404640874e-4,8.442803786463895
25,5.1005997703605384e-8,3.9603287368611585e-4,9.660310816826819
37,1.883903994565359e-8,1.7650697106771386e-4,5.1953502390708834
20,1.3721569393252165e-8,1.6768413779526023e-4,6.437689863913542
44,4.7238189714474665e-9,8.248968878890139e-5,4.525389417671012
125,7.68745301662939e-8,3.6120268702789034e-4,5.3317446644684106
58,1.5453636349449569e-7,5.091637104392334e-4,5.270284619013436
92,1.602724293883962e-8,1.8246006840039674e-4,6.525694213772497
111,2.491252148037176e-8,2.0468457538741892e-4,5.2832652977977155
7,4.9881278900879796e-8,3.001499227025051e-4,5.673992594194884
69,5.5673580734916576e-9,9.123003420019861e-5,4.69652235082114
71,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
75,3.750937207089834e-8,3.527749077267059e-4,10.42330516101078
22,4.616970685188536e-8,3.036888898585163e-4,6.275532219107495
72,3.970257373621323e-8,3.0229687845138885e-4,7.231002920798021
46,3.436015942326669e-8,2.659789703932243e-4,6.46828732932238
35,4.341414578520767e-8,3.606573575226407e-4,9.412569699162143
32,3.385403596204018e-8,2.475826624554797e-4,5.68826576812765
109,7.985503499351669e-9,1.2207589498387493e-4,5.862831360572513
113,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
52,6.748312816353523e-8,3.7659931097082085e-4,6.602580560294571
81,5.5673580734916574e-8,3.531732085284328e-4,7.038436874406235
101,1.3890277213661003e-8,1.4733320363245932e-4,4.909533458646372
76,8.536615712687207e-8,4.929457346695105e-4,8.942570392728271
99,2.131342131164988e-8,2.335569779137223e-4,8.040487794148017
47,4.8925267918563045e-8,2.881045776122768e-4,5.329874432986828
34,3.7846787711716016e-8,2.520845341428066e-4,5.27488811078228
103,6.124093880840823e-8,3.2558370222860746e-4,5.437926677701336
33,4.302049420425371e-8,2.853587940073561e-4,5.9464394279712804
61,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
15,1.242814277011774e-8,1.4941776411826928e-4,5.6434944953626225
65,4.836290851720026e-9,8.282985389716754e-5,4.4566779504413585
73,3.4135215662721576e-8,2.400871480102312e-4,5.304995831844408
50,3.9421394035531834e-8,2.679800282745502e-4,5.722986902473843
89,5.28617837281026e-8,3.330124231147284e-4,6.590660332850077
83,3.0817295194681095e-8,2.3355697791372198e-4,5.560848310186294
43,2.158335382430402e-7,8.970082672249374e-4,11.711805025420201
100,2.0076230628651734e-8,1.968414660428448e-4,6.0631858216340735
93,4.206448322193696e-8,3.0599483709191095e-4,6.992983647362305
79,1.63252934215619e-7,6.180701750980592e-4,7.351305165633983
122,4.105223629948394e-9,7.499062617172855e-5,4.303551580259993
85,1.8332916484427072e-8,1.7393946013863085e-4,5.184591557151263
40,1.39296423717564e-7,5.03834331675765e-4,5.7251308995980255
9,2.8849037289911314e-8,2.206814993560124e-4,5.303351341147657
55,5.679829953764216e-9,9.030067175697206e-5,4.51020727495559
59,4.7238189714474665e-9,8.248968878890161e-5,4.525389417671036
68,6.450262333631243e-8,4.292844928792416e-4,8.975587729567359
96,1.1562109292019038e-7,6.156543157637427e-4,10.298800819647454
24,1.7843663805241443e-7,7.754552907016846e-4,10.587157341580712
90,4.4932516168887213e-08,2.6923619154130095e-4,5.068226446154247
116,4.105223629948394e-9,7.499062617172844e-5,4.303551580259979
108,5.792301834036775e-9,9.123003420019841e-5,4.514133133313503
104,2.035741032933313e-8,1.8926778348892306e-4,5.528161658388654
128,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
63,1.2360659641954206e-7,6.475734750561022e-4,10.65826042666931
51,1.9452011693139033e-7,7.72985681593112e-4,9.65002079918807
80,1.4565108495296356e-8,1.824600684003961e-4,7.180783208205206
94,1.2090727129300064e-8,1.4228470911893743e-4,5.2603411874061825
118,4.105223629948394e-9,7.499062617172844e-5,4.303551580259979
38,3.4416395363402974e-8,2.4206992713264288e-4,5.3489208252296745
74,7.642464264520365e-8,3.693621404131906e-4,5.60817055011687
42,2.401274643819129e-8,1.9967794459234138e-4,5.216368129731071
129,4.7238189714474665e-9,8.248968878890248e-5,4.525389417671131
121,6.782054380435292e-8,4.210174382487649e-4,8.21086239147183
66,4.5888527151203964e-8,3.0746156730408644e-4,6.471834866034833
53,9.419519972826794e-8,4.066815706923524e-4,5.516074026392627
123,3.4219569572925993e-7,8.219259996235199e-4,6.202128602723762
36,4.60572349716128e-8,3.723192077182269e-4,9.455465068496723
98,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
5,2.2719319815056863e-8,1.838417798594869e-4,4.673507883186817
13,1.2433766364131366e-7,5.552345664915718e-4,7.789331038887046
120,6.973256576898641e-8,3.495721641036869e-4,5.505387771169852
82,4.420144894711558e-8,2.9666352373232077e-4,6.255206746651436
45,5.34241431294654e-9,8.998875140607456e-5,4.761993074915088
86,2.8061734128003402e-8,2.294271997117114e-4,5.892847141803703
88,5.258060402742121e-8,3.5125724570319824e-4,7.371822761471667
124,7.0857284571712e-9,1.0737023669498544e-4,5.111321380840504
95,1.7106972989456182e-7,5.707175880147105e-4,5.981625460089418
112,4.431392082738814e-8,2.966635237323212e-4,6.239330587395993
67,6.962009388871385e-8,4.5392563780792143e-4,9.297896189622811
106,1.3181704367943884e-7,6.594060123578732e-4,10.362966893155397
49,4.459510052806954e-8,3.420098762952047e-4,8.240243025809303
10,4.7238189714474665e-9,8.248968878890074e-5,4.52538941767094
62,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
60,3.559735010626484e-8,3.1815828174872746e-4,8.933438825373798
56,5.8260433981185426e-8,3.797222017599445e-4,7.775138575100592
31,3.171707023686156e-8,3.328435098788467e-4,10.973293488602604
70,4.08835284790751e-8,2.442669287574416e-4,4.584910323877313
41,7.333166593770829e-8,3.6073531221014526e-4,5.5748814420297625
117,4.836290851720026e-9,8.282985389716732e-5,4.456677950441335
16,1.724756283979688e-7,5.751345928403152e-4,6.025056403135037
77,3.295426091985971e-8,2.529752949896209e-4,6.100908600315994
28,7.366908157852597e-9,1.0525435956219089e-4,4.724379792039582
54,5.466133381246354e-8,3.6776002505404447e-4,7.7731793537895335
126,3.0311171733454575e-8,2.2770493364362898e-4,5.373930290556185
97,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
84,4.155835976071045e-8,3.107363982767256e-4,7.299207829788477
78,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
57,7.1982003374437585e-9,1.0004997423416936e-4,4.368777283898405
91,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
17,4.105223629948394e-9,7.499062617172779e-5,4.303551580259905
26,7.310672217716318e-8,3.8508982606577473e-4,6.372599867320217
105,4.836290851720026e-9,8.282985389716739e-5,4.4566779504413425
114,4.6675830313111876e-8,2.881045776122763e-4,5.586735851444003
87,6.562734213903802e-8,4.066815706923507e-4,7.917244210974784
8,9.56573341718112e-8,4.860526561109504e-4,7.758865807013952
48,7.558110354315946e-8,4.275123453690057e-4,7.59685723524318
64,4.948762731992584e-8,3.3704094569545216e-4,7.211383136649324
39,6.618970154040081e-8,3.353682755905198e-4,5.338305273729476
19,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
30,3.790302365185229e-8,2.778703759077453e-4,6.399713224597614
119,7.395026127920737e-8,4.8743907011623584e-4,10.093710236818932
107,4.836290851720026e-9,8.282985389716754e-5,4.4566779504413585
115,2.6824543445005256e-8,2.2807508550049568e-4,6.0921870116783206
11,9.391402002758654e-9,1.2021911917421182e-4,4.834666538757793
