Index,nPixels,maxDist,Ecc
118,7.648087858533994e-8,4.0146258160702404e-4,6.620444518520834
41,5.319919936892028e-8,3.3309684761174095e-4,6.55218002699014
89,3.182954211713412e-8,2.7502243450907004e-4,7.465445440067615
151,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
132,1.921582074456666e-7,5.841572431691172e-4,5.578924267481082
98,3.4416395363402974e-8,3.230695047399782e-4,9.527444387357306
154,5.061234612265143e-8,2.834804375168476e-4,4.988151002199801
34,7.254436277580038e-9,1.1348140945197992e-4,5.5769357959074375
165,7.535615978261434e-9,1.0525435956219109e-4,4.618610095202893
68,3.711572048994438e-8,2.5672655071051645e-4,5.5787069545564165
111,1.242814277011774e-8,1.5165915572670945e-4,5.814078711847186
44,3.256060933890575e-8,2.3439819434702475e-4,5.301098484554861
50,6.590852183971942e-8,4.263927701786123e-4,8.666185195440088
108,6.7033240642445e-8,3.985806453968748e-4,7.445469166435544
11,3.109847489536249e-8,2.651319014572732e-4,7.101249216975122
21,3.4416395363402974e-8,2.6703402796797725e-4,6.5090514456729895
63,3.9421394035531834e-8,2.414884467657236e-4,4.647405965438826
67,6.832666726557943e-8,3.5149731219371466e-4,5.680723506120801
107,6.75956000438078e-8,3.279929168148336e-4,4.999889140031007
143,2.5024993360644317e-8,2.2671490750402647e-4,6.452619517710264
54,2.918645293072899e-8,1.9967794459234092e-4,4.291694010395294
57,3.7621843951170894e-8,2.7512465433587006e-4,6.320752932334618
130,1.9232691526607542e-8,1.8013366553377278e-4,5.30028936000382
103,1.338415375243449e-8,1.5765876296684343e-4,5.834386356666722
157,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
112,4.706948189406583e-8,3.467454974637241e-4,8.024761162933082
53,4.836290851720026e-9,8.282985389716832e-5,4.456677950441444
160,3.008622797290946e-8,2.1223804571555893e-4,4.703580776683027
158,1.8276680544290795e-8,1.6514972287623022e-4,4.688222883049408
75,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
32,3.5428642285856e-8,3.2558370222860665e-4,9.399844685740835
25,2.463134177969036e-8,2.1953177605256045e-4,6.146906173804704
5,2.8174206008275963e-8,2.4230212855498427e-4,6.546552355983573
4,3.481004694435693e-8,3.16385798421132e-4,9.033982105637847
79,5.792301834036775e-9,9.030067175697206e-5,4.42263043466519
35,8.733441503164186e-8,6.228286402053574e-4,13.95409280390365
141,2.491252148037176e-8,2.206814993560131e-4,6.141352681735362
90,1.7354411126055812e-7,6.103794749193743e-4,6.744345861967725
13,3.2504373398769474e-8,2.782748453735207e-4,7.484382498258054
162,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
125,5.7866782400231466e-8,3.3687405242169055e-4,6.161063143774744
121,4.273931450357232e-8,3.286780202596344e-4,7.94078879940262
100,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
161,3.8577854933487644e-8,3.2670447560242944e-4,8.692044980340288
155,7.423144097988876e-9,1.0918799983922785e-4,5.045588201219969
82,4.836290851720026e-9,8.282985389716754e-5,4.4566779504413585
153,4.836290851720026e-9,8.282985389716752e-5,4.456677950441357
61,2.496875742050804e-8,2.0849551967690836e-4,5.469484507263327
149,5.679829953764216e-9,9.030067175697206e-5,4.51020727495559
122,1.3974631123865424e-7,5.387856002005569e-4,6.525916007175261
16,5.511122133355378e-9,9.030067175697378e-5,4.648274844597265
42,6.439015145603988e-8,3.22546879154203e-4,5.075935728507487
39,2.0976005670832204e-8,1.8747656542932048e-4,5.264062757355503
91,3.132341865590761e-8,3.525357112423896e-4,12.4648469738482
99,1.692701798102009e-8,1.7393946013863042e-4,5.61520547385815
6,2.378780267764617e-8,1.9118933309309328e-4,4.827506441686468
58,2.5137465240916878e-8,2.41837502761111e-4,7.309298343922539
26,6.579604995944686e-9,1.0004997423416786e-4,4.779517028538282
84,1.4728192721691567e-7,6.085802344289009e-4,7.900163885659558
150,2.5750436988402324e-7,7.248921468973123e-4,6.410797500577208
114,3.40789797225853e-8,3.341082776144793e-4,10.290530391709089
76,7.423144097988876e-8,4.059203180419756e-4,6.9733836931955295
109,1.9502624039261683e-7,7.114235455946851e-4,8.152922111392176
144,7.681829422615761e-8,4.275123453690057e-4,7.474506679477916
65,1.8051736783745677e-8,1.6514972287623022e-4,4.746643105891146
140,6.05098715866366e-8,6.906469751153063e-4,24.764859561104718
86,2.28880276354657e-8,2.0302941688310293e-4,5.657954336809139
126,1.6308422639521017e-8,1.7312930454615989e-4,5.774030635735738
48,1.9255185902662056e-7,6.522460326678535e-4,6.941048021146862
117,1.7376905502110325e-8,1.6188251327276302e-4,4.737806396675889
152,5.2749311847830046e-8,3.100116476729567e-4,5.723861241988227
