Index,nPixels,maxDist,Ecc
397,8.097975379624228e-9,1.1348140945198017e-4,4.996004983833768
278,1.501499601638659e-8,1.972695378772539e-4,8.14225511716905
332,4.498875210902349e-8,2.834804375168473e-4,5.611669877474766
319,3.722819237021694e-8,3.140666155436357e-4,8.323796849541525
95,3.199824993754296e-8,2.343981943470233e-4,5.3942636600302745
398,6.073481534718171e-9,9.030067175697258e-5,4.217879025652962
293,2.2438140114375468e-8,2.03996558061274e-4,5.826512690868288
235,3.728442831035322e-8,3.0368888985851666e-4,7.771058750961186
34,1.6252186699384737e-8,1.5184444492925839e-4,4.456930754227742
148,2.7949262247730844e-8,2.726608018402377e-4,8.356510036309274
266,1.1640839608209829e-8,1.4941776411826993e-4,6.025180113406524
198,2.31692073361471e-8,2.0191844046248608e-4,5.528288043331552
301,2.7049487205550375e-8,2.1863336688583796e-4,5.551671009462209
218,3.6890776729399265e-8,3.059029329489484e-4,7.968917950569225
358,1.6645838280338693e-8,1.8521318388044209e-4,6.474228103681675
287,2.659959968446014e-8,2.396182273516378e-4,6.781323677199103
109,3.289802497972343e-8,2.4008714801023045e-4,5.504499948597497
369,2.7105723145686655e-8,2.634295923547102e-4,8.042998619356446
192,2.463134177969036e-8,2.091687391223301e-4,5.580271882403794
182,2.3000499515738262e-8,1.8926778348892366e-4,4.8928961377425555
257,5.792301834036775e-9,9.030067175697245e-5,4.422630434665229
33,2.0526118149741968e-8,1.955516282025549e-4,5.852830149153632
112,1.4565108495296356e-8,1.6514972287622967e-4,5.882905162127597
189,6.635840936080965e-9,9.863476893862738e-5,4.605894314161344
175,5.511122133355378e-9,9.030067175697249e-5,4.648274844597132
363,3.9252686215122996e-8,3.267044756024291e-4,8.542611542282843
126,2.221319635383035e-8,1.9221605726248663e-4,5.225383223818971
299,1.6645838280338693e-8,1.802896929909458e-4,6.134596465455748
213,2.041364626946941e-8,2.111755206648478e-4,6.863038496685142
391,1.0966008326574476e-8,1.3581380034701773e-4,5.28431995065359
71,2.2606847934784306e-8,1.769842327889903e-4,4.3529032538545005
263,2.0244938449060572e-8,1.6650621155736423e-4,4.302236606166023
197,2.120094943137732e-8,2.0741382356114483e-4,6.374849814313507
279,5.3705322830146796e-8,2.8228766741235405e-4,4.661399780247889
48,1.248437871025402e-8,1.5016861188227063e-4,5.674678622024809
385,9.053986361940978e-9,1.1471359985585566e-4,4.56604149652181
388,1.9682579047697778e-8,1.8246006840039652e-4,5.313779574071878
259,1.0966008326574476e-8,1.294538920257373e-4,4.800998003947478
347,4.167083164098301e-8,2.589077840514747e-4,5.053682109418403
291,9.672581703440051e-9,1.2836327535525822e-4,5.3516665552430736
151,1.338415375243449e-8,1.4733320363245975e-4,5.09518808523387
177,2.0863533790559643e-8,1.7650697106771365e-4,4.691219218568038
52,5.336790718932912e-8,3.357872242555403e-4,6.637400706477931
250,1.0291177044939124e-8,1.3519127392065967e-4,5.579331215391722
406,1.1247188027255873e-8,1.3684505130029737e-4,5.230751768227003
254,4.363908954575279e-8,2.6798002827455063e-4,5.169863168343013
171,1.1134716146983315e-8,1.4009405093565376e-4,5.537453717691115
238,6.073481534718171e-9,9.030067175697292e-5,4.217879025652993
262,6.354661235399568e-9,9.777581410127706e-5,4.726289832834202
233,3.205448587767924e-8,2.659789703932236e-4,6.9335501021332515
304,1.0459884865347962e-8,1.368450513002975e-4,5.624464266910767
67,1.4002749093933562e-8,1.6188251327276302e-4,5.879446492260441
374,1.321544593202565e-8,1.3827588237409663e-4,4.545282988172473
289,1.8220444604154514e-8,2.1010762243902378e-4,7.611574793419727
300,1.8895275885789866e-8,1.8971294549191605e-4,5.983986006837687
63,9.278930122486095e-9,1.1471359985585514e-4,4.455349581454574
59,1.3440389692570768e-8,1.4560545810984375e-4,4.955566654407364
371,2.1088477551104762e-8,1.6768413779525985e-4,4.188790204786392
362,8.210447259896787e-9,1.127356308839365e-4,4.863013285693806
267,2.4350162079008965e-8,2.3101495014247252e-4,6.885384360870002
174,2.5981004342961067e-8,1.928003019449935e-4,4.494789489226956
30,1.4340164734751238e-8,1.507292931551688e-4,4.977268360981465
392,2.7049487205550375e-8,2.514143924145512e-4,7.341268487806494
145,2.136965725178616e-8,2.1316341062695043e-4,6.68001806342253
372,2.918645293072899e-8,2.4928039202991645e-4,6.68874736457944
390,2.2775555755193144e-8,1.898611008799723e-4,4.972249113459394
402,1.1190952087119594e-8,1.3684505130029745e-4,5.257036952991968
395,2.2550611994648026e-8,2.3439819434702342e-4,7.654204545030497
354,2.120094943137732e-8,2.1117552066484774e-4,6.608177650654393
107,1.3159209991889371e-8,1.581928992105664e-4,5.9743962856729205
39,3.627218138790019e-8,2.3295424922398296e-4,4.700212264673099
190,2.474381365996292e-8,1.9684146604284495e-4,4.919448496189471
305,1.068482862589308e-8,1.3519127392065973e-4,5.373776907456241
202,1.7995500843609396e-8,1.8807553361806443e-4,6.175193059712431
160,1.0066233284394006e-8,1.2770443469011213e-4,5.0897311147544455
115,2.046988220960569e-8,2.4102225241827036e-4,8.915563766918263
317,1.8107972723881957e-8,1.739394601386308e-4,5.248996421215249
89,6.24218935512701e-9,9.030067175697378e-5,4.103882295230018
284,2.9130216990592713e-8,2.1591571126941095e-4,5.0277612158801945
159,1.7264433621837764e-8,1.6599882730542687e-4,5.014268404752447
98,3.2616845279042035e-8,2.8228766741235427e-4,7.675235845063345
110,2.4125218318463847e-8,1.8261410816476788e-4,4.342574460556505
137,2.0019994688515454e-8,1.928003019449933e-4,5.833125685457443
36,6.579604995944686e-9,1.0525435956219132e-4,5.2896901945059005
294,2.0751061910287086e-8,1.838417798594863e-4,5.116794538773609
24,1.1640839608209829e-8,1.5165915572670958e-4,6.207301426658117
85,3.18857780572704e-8,2.383239382387803e-4,5.596135061950053
331,1.523993977693171e-8,1.6222952870479116e-4,5.425333438671655
44,2.12571853715136e-8,2.790820257357092e-4,11.51086197148643
82,1.2653086530662858e-8,1.4560545810984326e-4,5.263913024014897
143,1.4733816315705194e-8,1.5295146647447455e-4,4.988177648447936
217,1.4227692854478679e-8,1.4424734954384142e-4,4.5944240388466895
298,2.553111682187083e-8,2.912109162196869e-4,10.4350698713952
114,2.2663083874920583e-8,1.9626925126812835e-4,5.339927959575749
191,5.3761558770283074e-8,3.033183114534182e-4,5.376198306770803
394,1.051612080548424e-8,1.294538920257373e-4,5.006388292886408
273,3.9646337796076955e-8,2.8975896642462163e-4,6.653046569942632
68,1.613971481911218e-8,1.5819289921056645e-4,4.871110560444126
111,1.3496625632707047e-8,1.5165915572670958e-4,5.353797480492626
329,6.697700470230872e-8,4.895113286949408e-4,11.239568679215878
184,7.591851918397715e-9,1.0605276058290882e-4,4.654211338651506
46,1.2034491189163785e-8,1.2945389202573715e-4,4.374741171821291
410,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
80,2.063859003001453e-8,1.750673795264911e-4,4.665307891570707
214,2.063859003001453e-8,1.7264138632502914e-4,4.536904922077886
40,3.8690326813760205e-8,2.5901636354211497e-4,5.447558191471818
387,1.2934266231344255e-8,1.3519127392065967e-4,4.439207010507327
313,2.553111682187083e-8,2.1591571126941095e-4,5.736520506224539
66,6.410897175535848e-9,9.123003420019834e-5,4.078558883607808
28,5.117470552401423e-9,8.28298538971684e-5,4.211805535582031
58,1.5352411657204267e-8,1.6650621155736383e-4,5.673279041098025
277,1.158460366807355e-8,1.838417798594863e-4,9.165520314599329
26,1.338415375243449e-8,1.7264138632502998e-4,6.9959836403470606
35,2.0807297850423366e-8,1.8028969299094624e-4,4.907677172364621
42,6.135341068868078e-8,3.748031195980437e-4,7.193124150932429
381,1.692701798102009e-8,1.6650621155736426e-4,5.145532153554049
139,1.9795050927970336e-8,1.750673795264902e-4,4.864113625586454
75,2.4406398019145246e-8,2.4415178996774927e-4,7.673014315219287
56,1.703948986129265e-8,1.8882157198371453e-4,6.573497499590518
166,2.046988220960569e-8,1.968414660428448e-4,5.946586094294957
224,1.878280400551731e-8,1.8060134351394585e-4,5.455460296652974
336,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
144,3.092976707495365e-8,2.3714118186489533e-4,5.711986642890533
169,8.997750421804698e-9,1.1348140945197995e-4,4.496404485450374
47,5.038740236210631e-8,3.31997654610854e-4,6.872233929727695
10,1.6195950759248457e-8,1.603116484921785e-4,4.985096676008829
290,1.60834788789759e-8,1.6650621155736426e-4,5.415402721048142
129,2.7161959085822932e-8,2.2258450813132086e-4,5.730317034808702
87,6.7483128163535236e-9,9.863476893862655e-5,4.529129408925247
17,7.423144097988876e-9,1.049868766404196e-4,4.664789091693905
375,1.0741064566029359e-8,1.3581380034701792e-4,5.394986337054727
14,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
316,8.885278541532139e-9,1.0737023669498635e-4,4.076117050543763
188,2.28880276354657e-8,2.0261351460226922e-4,5.634797634202827
201,1.883903994565359e-8,1.7888054655982772e-4,5.3360185668435145
383,6.804548756489803e-9,9.777581410127706e-5,4.413807860415411
272,2.946763263141039e-8,2.85063034251942e-4,8.663361420681795
