Index,Distance,nPixels,Border,Ecc
4,1.5165915572670872e-4,1.0572356745620521e-8,FALSE,6.8346350814798695
5,1.4733320363245997e-4,1.495876007625031e-8,FALSE,4.558852497314528
6,8.38420688976293e-5,5.792301834036775e-9,FALSE,3.8126124436768776
7,1.3096549828701132e-4,1.2990502171480533e-8,FALSE,4.147990300194305
8,1.5907914087436256e-4,1.2821794351071696e-8,FALSE,6.200511816295539
9,9.777581410127663e-5,6.523369055808406e-9,FALSE,4.60405819922638
10,8.550246907380058e-5,5.961009654445613e-9,FALSE,3.852896650628942
11,8.248968878890074e-5,4.7238189714474665e-9,FALSE,4.52538941767094
12,1.3096549828701113e-4,1.2034491189163785e-8,FALSE,4.477503548340569
13,1.3519127392065957e-4,9.897525463985168e-9,FALSE,5.801236434185703
14,2.562880763499817e-4,2.980504827222806e-8,FALSE,6.9233589045148385
15,1.560453846770511e-4,1.2934266231344255e-8,FALSE,5.914389647845105
16,2.1630603827305425e-4,2.8736565409638757e-8,FALSE,5.1150784496804
17,1.2836327535525825e-4,9.222694182349816e-9,FALSE,5.612723460376886
18,1.750673795264911e-4,2.0526118149741968e-8,FALSE,4.690871222483424
19,1.6514972287623022e-4,1.2203199009572623e-8,FALSE,7.021531967700727
20,2.7461317470716973e-4,3.436015942326669e-8,FALSE,6.895050324818177
21,1.309654982870115e-4,1.141589584766471e-8,FALSE,4.720126893324568
22,2.8702900950887996e-4,4.257060668316348e-8,FALSE,6.079832546247048
23,1.7312930454616024e-4,2.0076230628651734e-8,FALSE,4.690389031830169
24,1.6852047284772597e-4,1.4227692854478679e-8,FALSE,6.270767944912448
25,1.358138003470179e-4,1.327168187216193e-8,FALSE,4.366281315158696
26,1.8028969299094624e-4,2.131342131164988e-8,FALSE,4.791136025791319
28,2.1591571126940983e-4,2.2494376054511745e-8,FALSE,6.510950774564785
29,2.3295424922398296e-4,3.57098219865374e-8,FALSE,4.774231355455353
30,2.585817720219968e-4,3.8690326813760205e-8,FALSE,5.429293117904433
31,3.748031195980437e-4,6.849537508598827e-8,FALSE,6.443102174603678
32,1.368450513002975e-4,1.338415375243449e-8,FALSE,4.395589721199171
33,1.073702366949855e-4,8.772806661259581e-9,FALSE,4.128374961448104
34,1.3581380034701794e-4,9.78505358371261e-9,FALSE,5.922082703318697
35,2.2609393973275298e-4,2.654336374432386e-8,FALSE,6.050228224815911
36,1.1348140945197994e-4,8.716570721123301e-9,FALSE,4.641449791432644
37,1.5907914087436256e-4,1.512746789665915e-8,FALSE,5.255452394480978
38,2.716276006940359e-4,2.83429138286848e-8,FALSE,8.178114209344868
39,1.309654982870115e-4,8.435391020441904e-9,FALSE,6.387905062299249
40,1.2570719620727517e-4,1.0178705164666565e-8,FALSE,4.877279202534392
41,3.357872242555403e-4,5.421144629137331e-8,FALSE,6.534121649841863
42,2.529752949896209e-4,4.032116907771231e-8,FALSE,4.9862377123921515
43,1.2115106427749165e-4,9.278930122486095e-9,FALSE,4.969428379314763
44,1.691865642696423e-4,1.60834788789759e-8,FALSE,5.591156156213927
45,1.8882157198371453e-4,1.7320669561974045e-8,FALSE,6.46678487784392
46,1.5907914087436343e-4,1.4508872555160076e-8,FALSE,5.479522070214723
47,1.2480927616867875e-4,1.1190952087119594e-8,FALSE,4.372970678614976
48,1.2299377177995213e-4,1.3159209991889371e-8,FALSE,3.611488990665141
49,8.384206889763101e-5,5.398650253082819e-9,FALSE,4.090615434361817
50,1.1446822289069181e-4,1.0909772386438197e-8,FALSE,3.7731499396207338
51,1.0605276058290938e-4,7.873031619079112e-9,FALSE,4.487989505128286
52,2.1643599084607092e-4,2.485628554023548e-8,FALSE,5.920693847149967
53,8.111476435239485e-5,5.792301834036775e-9,FALSE,3.5686052472815337
54,1.4267939700367805e-4,1.1472131787800991e-8,FALSE,5.574786963723075
55,1.5165915572670934e-4,1.2765558410935415e-8,FALSE,5.660402622547252
56,1.5165915572670953e-4,1.4452636615023797e-8,FALSE,4.999655234701282
57,1.8153308491803828e-4,2.0694825970150806e-8,FALSE,5.002644823379397
58,2.4484181053340036e-4,3.51474625851746e-8,FALSE,5.358300429962726
59,3.0368888985851666e-4,4.7800549115837464e-8,FALSE,6.061425825749724
60,2.428816609029115e-4,2.378780267764617e-8,FALSE,7.790852703583177
61,1.0737023669498513e-4,7.591851918397715e-9,FALSE,4.7705666221177765
62,9.777581410127663e-5,7.254436277580038e-9,FALSE,4.14008334194
63,1.3519127392065957e-4,9.672581703440051e-9,FALSE,5.936148909399323
64,1.8137812707083419e-4,1.9907522808242897e-8,FALSE,5.19161497838995
65,1.4009405093565376e-4,1.1247188027255873e-8,FALSE,5.482079180514204
66,1.3519127392065957e-4,1.0459884865347962e-8,FALSE,5.489342002240234
67,1.4267939700367805e-4,1.3834041273524725e-8,FALSE,4.622994067477672
68,2.3283351625436816e-4,2.946763263141039e-8,FALSE,5.779571217672806
69,1.368450513002975e-4,1.3440389692570768e-8,FALSE,4.377198132407543
70,1.1148158040733935e-4,8.097975379624228e-9,FALSE,4.8214720586344635
71,1.7312930454615978e-4,2.063859003001453e-8,FALSE,4.562585515976463
72,8.111476435239581e-5,5.7360658939004954e-9,FALSE,3.60359157323536
73,1.8028969299094564e-4,1.3496625632707047e-8,FALSE,7.56600230739541
74,2.260939397327533e-4,2.980504827222806e-8,FALSE,5.388127777571922
75,2.4008714801023015e-4,3.104223895522621e-8,FALSE,5.8335733150897235
76,2.0399655806127478e-4,2.665583562459642e-8,FALSE,4.904596125857521
77,2.483763803776405e-4,2.6824543445005256e-8,FALSE,7.225004488444438
78,1.0918799983922764e-4,1.0066233284394006e-8,FALSE,3.7207689528549355
79,2.567265507105163e-4,2.929892481100155e-8,FALSE,7.067075988497563
80,2.624671916010504e-4,2.4237690198736408e-8,FALSE,8.92912065115432
81,8.282985389716754e-5,4.836290851720026e-9,FALSE,4.4566779504413585
82,1.6565970779433423e-4,1.60834788789759e-8,FALSE,5.360479772558783
83,1.5819289921056645e-4,1.4340164734751238e-8,FALSE,5.482387179793978
84,1.5165915572670958e-4,1.4396400674887517e-8,FALSE,5.019185137961837
85,1.710049381476009e-4,1.6195950759248457e-8,FALSE,5.672320068981483
86,1.3519127392065957e-4,1.0291177044939124e-8,FALSE,5.579331215391713
87,2.383239382387806e-4,3.109847489536249e-8,FALSE,5.737809367315892
88,1.7133347819716323e-4,2.221319635383035e-8,FALSE,4.151674342212331
89,1.4009405093565376e-4,1.1922019308891226e-8,FALSE,5.171772811805853
90,1.5765876296684384e-4,1.3159209991889371e-8,FALSE,5.934119456780713
91,2.3295424922398296e-4,2.131342131164988e-8,FALSE,7.999041980776118
92,1.8986110087997323e-4,2.136965725178616e-8,FALSE,5.299370765660721
93,2.2609393973275292e-4,1.867033212524475e-8,FALSE,8.60152928347322
94,1.3288372813400321e-4,1.1472131787800991e-8,FALSE,4.83558869229016
95,9.777581410127663e-5,6.298425295263289e-9,FALSE,4.76848884919875
96,1.351912739206595e-4,1.1190952087119594e-8,FALSE,5.130741770938104
97,2.7007038778206397e-4,3.824043929266997e-8,FALSE,5.992125987802891
98,1.665062115573647e-4,1.3102974051753093e-8,FALSE,6.647232524548399
99,1.4560545810984348e-4,1.490252413611403e-8,FALSE,4.469360114729644
100,1.6650621155736285e-4,1.7376905502110325e-8,FALSE,5.012314492620526
101,1.7133347819716323e-4,1.867033212524475e-8,FALSE,4.939492063776719
102,1.855165635823477e-4,2.0976005670832204e-8,FALSE,5.154570252002597
103,1.8521318388044203e-4,2.1144713491241042e-8,FALSE,5.096732762472806
104,1.368450513002975e-4,1.2878030291207974e-8,FALSE,4.56834215565678
105,1.5165915572670958e-4,1.1697075548346108e-8,FALSE,6.177458631337645
106,7.499062617172866e-5,4.105223629948394e-9,FALSE,4.303551580260004
107,9.123003420019776e-5,5.904773714309333e-9,FALSE,4.428149645059849
108,1.928003019449933e-4,1.9851286868106616e-8,FALSE,5.882698991566146
109,1.5819289921056645e-4,1.7995500843609396e-8,FALSE,4.368777283898326
110,7.499062617172952e-5,4.105223629948394e-9,FALSE,4.3035515802601045
111,2.5803750332336435e-4,4.2008247281800686e-8,FALSE,4.979445384003136
112,2.0302941688310282e-4,1.8220444604154514e-8,FALSE,7.107368565065795
113,1.236777090548979e-4,1.1865783368754945e-8,FALSE,4.049825600836128
114,2.2055404829175517e-4,2.744313878650433e-8,FALSE,5.568601732285212
115,1.2836327535525814e-4,9.841289523848889e-9,FALSE,5.259923700010329
116,1.8246006840039669e-4,1.7995500843609396e-8,FALSE,5.811946409141127
117,1.8986110087997323e-4,1.591477105856706e-8,FALSE,7.115762865551498
118,1.8971294549191605e-4,2.1594601012331275e-8,FALSE,5.235987755982976
119,1.9854821589611885e-4,1.428392879461496e-8,FALSE,8.670300984907259
120,1.7312930454615894e-4,1.8726568065381028e-8,FALSE,5.028435088178215
121,1.294538920257375e-4,1.068482862589308e-8,FALSE,4.927340056682954
122,3.4340466867207556e-4,5.961009654445612e-8,FALSE,6.215018674130006
123,9.777581410127663e-5,6.354661235399568e-9,FALSE,4.726289832834159
124,1.5295146647447335e-4,1.4508872555160076e-8,FALSE,5.065513736020693
125,3.556327169517621e-4,4.38640333062979e-8,FALSE,9.058258817850561
126,1.0605276058290894e-4,7.535615978261434e-9,FALSE,4.688944259089215
127,1.6378199975884187e-4,1.613971481911218e-8,FALSE,5.221392668161437
128,1.0525435956219132e-4,7.310672217716318e-9,FALSE,4.76072117505531
129,1.4326939013530418e-4,1.06285926857568e-8,FALSE,6.067096923599344
130,2.0399655806127426e-4,1.9063983706198704e-8,FALSE,6.857753875092784
132,1.3519127392065967e-4,1.0291177044939124e-8,FALSE,5.579331215391722
133,1.665062115573631e-4,1.5577355417749385e-8,FALSE,5.591354434006307
134,1.8747656542932189e-4,1.793926490347312e-8,FALSE,6.155158020356213
135,1.0605276058290882e-4,7.14196439730748e-9,FALSE,4.947390005653176
136,1.6031164849217666e-4,1.765808520279172e-8,FALSE,4.572317970351941
137,2.190188506413238e-4,2.7161959085822932e-8,FALSE,5.548195721557153
138,9.863476893862655e-5,6.18595341499073e-9,FALSE,4.940868446100269
139,1.2207589498387515e-4,8.716570721123301e-9,FALSE,5.371110020653547
140,2.2671490750402574e-4,3.002999203277318e-8,FALSE,5.377182931425185
141,1.6514972287623022e-4,1.60834788789759e-8,FALSE,5.327526003465237
142,8.282985389716732e-5,5.117470552401423e-9,FALSE,4.211805535581921
143,1.8384177985948639e-4,2.3000499515738262e-8,FALSE,4.616374534981572
144,1.0004997423416955e-4,7.760559738806553e-9,FALSE,4.052199219847811
145,1.1348140945198038e-4,8.04173943948795e-9,FALSE,5.030942081622834
146,1.765069710677126e-4,1.4790052255841473e-8,FALSE,6.617651445204261
147,1.0918799983922764e-4,8.997750421804698e-9,FALSE,4.162610266006459
148,1.2570719620727568e-4,9.278930122486095e-9,FALSE,5.350227488840801
149,2.928477568768886e-4,3.89715065144416e-8,FALSE,6.9133171669904625
150,1.6768413779525985e-4,1.8276680544290795e-8,FALSE,4.833219467061221
151,1.972695378772531e-4,2.4518869899417803e-8,FALSE,4.986197514413115
152,1.049868766404196e-4,6.860784696626083e-9,FALSE,5.047148853308159
153,2.1953177605256045e-4,1.8051736783745677e-8,FALSE,8.387367302574644
154,1.2091875138055555e-4,8.997750421804698e-9,FALSE,5.105088062083404
155,1.6514972287623022e-4,1.338415375243449e-8,FALSE,6.401985029374193
156,1.9511978749542838e-4,2.1594601012331275e-8,FALSE,5.5386932981257555
157,9.12300342001982e-5,5.5673580734916576e-9,FALSE,4.6965223508210965
158,1.9280030194499342e-4,2.2719319815056863e-8,FALSE,5.1400810495615135
159,3.033183114534182e-4,5.3480379069601675e-8,FALSE,5.404464333620282
160,2.091687391223301e-4,2.4350162079008965e-8,FALSE,5.644709202062036
161,1.5295146647447268e-4,1.6364658579657294e-8,FALSE,4.4910740339976885
162,2.448418105334012e-4,2.5249937121189435e-8,FALSE,7.458658727676449
163,1.0918799983922741e-4,1.0178705164666565e-8,FALSE,3.6796554837625997
164,1.545971363186224e-4,2.1875780713012674e-8,FALSE,3.4323313053358904
165,1.928003019449933e-4,1.9063983706198704e-8,FALSE,6.1256423127517685
166,1.545971363186228e-4,1.242814277011774e-8,FALSE,6.041524333826554
167,1.6514972287623008e-4,1.5971006998703338e-8,FALSE,5.365043792222026
168,1.1273563088393607e-4,7.423144097988876e-9,FALSE,5.378787422055228
169,1.3581380034701794e-4,1.6477130459929855e-8,FALSE,3.5168682265442093
170,1.2021911917421356e-4,8.266683200033066e-9,FALSE,5.492444299133163
171,1.456054581098418e-4,1.4340164734751238e-8,FALSE,4.644629138836581
172,1.6514972287623022e-4,1.5746063238158223e-8,FALSE,5.441687274968063
173,1.277044346901117e-4,1.2540614650390299e-8,FALSE,4.085479235610042
174,3.0973942899232735e-4,5.021869454169747e-8,FALSE,6.001743636085342
175,9.863476893862655e-5,7.704323798670274e-9,FALSE,3.9671206501535003
176,2.3259186230627368e-4,2.0582354089878248e-8,FALSE,8.257410198779702
177,1.4228470911893716e-4,1.428392879461496e-8,FALSE,4.452651005087892
178,2.47923138429945e-4,2.6374655923915023e-8,FALSE,7.321451535977959
179,1.6650621155736383e-4,1.3946513153797282e-8,FALSE,6.245182170240972
180,1.1641675812718392e-4,9.78505358371261e-9,FALSE,4.351286376523767
181,2.4008714801023113e-4,1.9626343107561498e-8,FALSE,9.226740601517346
182,1.2836327535525825e-4,1.1640839608209829e-8,FALSE,4.446795398559465
183,2.101076224390236e-4,2.1594601012331275e-8,FALSE,6.422266231947884
184,8.28298538971684e-5,4.836290851720026e-9,FALSE,4.456677950441453
