Index,Distance,nPixels,Border,Ecc
3,3.221107100849565e-4,4.0208697197439746e-8,FALSE,8.10662719702537
4,2.466724289973529e-4,3.767807989130718e-8,FALSE,5.073437688334547
5,7.647573323723642e-5,5.34241431294654e-9,FALSE,3.439217220771921
6,1.3581380034701794e-4,1.2034491189163785e-8,FALSE,4.815151356903987
7,1.294538920257373e-4,1.2540614650390299e-8,FALSE,4.198182111075148
8,2.1863336688583834e-4,2.120094943137732e-8,FALSE,7.083166460348359
9,1.826141081647687e-4,1.8445388364699633e-8,FALSE,5.679769645057187
10,1.7393946013863118e-4,2.0076230628651734e-8,FALSE,4.734388928939265
11,2.2509682819353018e-4,3.37978000219039e-8,FALSE,4.709775342569717
12,9.777581410127693e-5,5.961009654445613e-9,FALSE,5.038403312360974
13,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
14,7.499062617172952e-5,4.105223629948394e-9,FALSE,4.3035515802601045
15,1.1348140945197995e-4,1.0009997344257727e-8,FALSE,4.041711897034044
16,1.0199827903063732e-4,8.04173943948795e-9,FALSE,4.064298188210598
17,1.440522888061378e-4,1.507123195652287e-8,FALSE,4.325551079009795
18,1.69186564269644e-4,1.4396400674887517e-8,FALSE,6.2463697682703705
19,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
20,1.2207589498387472e-4,9.503873883031213e-9,FALSE,4.926165995273927
21,7.499062617172952e-5,4.105223629948394e-9,FALSE,4.3035515802601045
22,8.248968878890074e-5,4.7238189714474665e-9,FALSE,4.52538941767094
24,2.928477568768903e-4,4.2008247281800686e-8,FALSE,6.413559299497252
25,9.777581410127663e-5,6.298425295263289e-9,FALSE,4.76848884919875
26,3.164746583578435e-4,4.9881278900879796e-8,FALSE,6.30797803387084
27,1.3684505130029723e-4,1.242814277011774e-8,FALSE,4.733712007445242
28,2.1760207166924439e-4,2.6037240283097347e-8,FALSE,5.713220333310133
29,1.5459713631862254e-4,1.068482862589308e-8,FALSE,7.027246725135072
30,2.874205908771911e-4,3.18857780572704e-8,FALSE,8.139329114856027
31,2.6576745626800643e-4,2.9355160751137828e-8,FALSE,7.559081174154732
32,1.7393946013862934e-4,1.591477105856706e-8,FALSE,5.972356352054
33,1.4228470911893743e-4,1.068482862589308e-8,FALSE,5.952491343643837
34,1.2367770905489833e-4,1.158460366807355e-8,FALSE,4.148122338720529
35,1.750673795264911e-4,1.9626343107561498e-8,FALSE,4.905925490562893
