Index,Distance,nPixels,Border,Ecc
3,2.3355697791372526e-4,2.9130216990592713e-8,FALSE,5.882905162127751
4,9.777581410127706e-5,6.579604995944686e-9,FALSE,4.564707274446707
5,1.676841377952586e-4,1.7095725801428926e-8,FALSE,5.167093180246296
6,1.4326939013530426e-4,1.3102974051753093e-8,FALSE,4.921379049614923
7,2.59991538408095e-4,5.089352582333282e-8,FALSE,4.1725904636629165
8,1.236777090548979e-4,7.591851918397715e-9,FALSE,6.329727420566096
9,3.4503838231203054e-4,4.7238189714474667e-8,FALSE,7.917561485297103
10,3.25583702228608e-4,5.269307590769376e-8,FALSE,6.320066330861021
11,1.3096549828701322e-4,9.672581703440051e-9,FALSE,5.570847438051817
12,1.8384177985948639e-4,2.221319635383035e-8,FALSE,4.779992872930286
13,1.0737023669498556e-4,7.479380038125155e-9,FALSE,4.842304466059436
14,1.2836327535525825e-4,1.1134716146983315e-8,FALSE,4.64892246213035
15,2.925595681009552e-4,3.73406642504895e-8,FALSE,7.201060269222407
16,1.0815301913652904e-4,9.278930122486095e-9,FALSE,3.9603107390708736
17,1.9511978749542924e-4,1.698325392115637e-8,FALSE,7.042576908875195
18,1.6565970779433507e-4,1.613971481911218e-8,FALSE,5.341802142689294
19,7.499062617172855e-5,4.105223629948394e-9,FALSE,4.303551580259993
20,8.28298538971684e-5,4.836290851720026e-9,FALSE,4.456677950441453
21,1.4560545810984348e-4,1.2821794351071696e-8,FALSE,5.194651010541032
22,1.7312930454616005e-4,1.793926490347312e-8,FALSE,5.249118759759771
23,1.2480927616867794e-4,1.1022244266710756e-8,FALSE,4.439903903287598
24,1.309654982870115e-4,1.0403648925211683e-8,FALSE,5.1793824829453365
25,8.282985389716668e-5,5.398650253082819e-9,FALSE,3.9924406639369687
26,1.4424734954384224e-4,1.2821794351071696e-8,FALSE,5.098198604509761
27,1.1471359985585548e-4,1.1078480206847035e-8,FALSE,3.7316379743147667
28,2.7296999959806943e-4,2.665583562459642e-8,FALSE,8.781878198325883
29,1.1348140945197995e-4,7.985503499351669e-9,FALSE,5.066371251211689
30,1.049868766404196e-4,6.579604995944686e-9,FALSE,5.262838975244406
31,2.874205908771925e-4,3.362909220149506e-8,FALSE,7.717390649035803
32,1.5165915572670958e-4,1.6195950759248457e-8,FALSE,4.461497900410522
34,1.2207589498387472e-4,1.1190952087119594e-8,FALSE,4.18352790553414
35,1.4560545810984348e-4,1.1922019308891226e-8,FALSE,5.586700143412054
36,1.6514972287623022e-4,1.321544593202565e-8,FALSE,6.483712497834289
37,8.248968878890074e-5,4.7238189714474665e-9,FALSE,4.52538941767094
38,2.753289801377698e-4,4.594476309134024e-8,FALSE,5.183435614490861
39,1.7312930454616018e-4,1.703948986129265e-8,FALSE,5.52629994839396
40,9.863476893862826e-5,6.7483128163535236e-9,FALSE,4.529129408925404
41,7.499062617172952e-5,4.105223629948394e-9,FALSE,4.3035515802601045
42,1.8882157198371366e-4,1.9626343107561498e-8,FALSE,5.707076625718937
43,1.29453892025737e-4,9.78505358371261e-9,FALSE,5.380428797527321
44,1.637819997588423e-4,2.2775555755193144e-8,FALSE,3.7000980142280016
45,1.049868766404196e-4,6.804548756489803e-9,FALSE,5.088860827302442
46,1.1348140945197995e-4,7.985503499351669e-9,FALSE,5.066371251211689
47,8.248968878890139e-5,4.7238189714474665e-9,FALSE,4.525389417671012
48,1.9967794459234138e-4,1.7995500843609396e-8,FALSE,6.960591223109899
49,2.2942719971171183e-4,1.940139934701638e-8,FALSE,8.523277460174082
50,9.275828179117385e-5,6.18595341499073e-9,FALSE,4.369669781811293
51,1.8747656542932083e-4,1.4733816315705194e-8,FALSE,7.494257284326755
52,1.382758823740965e-4,1.0009997344257727e-8,FALSE,6.000794956295104
53,2.354753426037888e-4,2.4518869899417803e-8,FALSE,7.104610909265024
54,1.5748031496063027e-4,1.793926490347312e-8,FALSE,4.343079499163338
55,2.585817720219968e-4,3.272931715931459e-8,FALSE,6.418133445220362
56,1.1248593925759238e-4,8.997750421804698e-9,FALSE,4.417864669110614
57,1.5072929315516922e-4,1.613971481911218e-8,FALSE,4.422311609931292
58,1.1471359985585634e-4,1.0009997344257727e-8,FALSE,4.129958881685506
59,1.0918799983922741e-4,8.660334780987022e-9,FALSE,4.324789886759938
60,1.1348140945197983e-4,8.322919140169347e-9,FALSE,4.860977822108501
61,2.7756663702019926e-4,4.650712249270304e-8,FALSE,5.2043312399250725
62,9.77758141012769e-5,7.0294925170349206e-9,FALSE,4.272566008882104
63,1.277044346901117e-4,8.716570721123301e-9,FALSE,5.8778185131679965
64,1.1348140945197995e-4,1.0347412985075403e-8,FALSE,3.9099169438698906
65,9.485647274595787e-5,7.591851918397715e-9,FALSE,3.7233690709212155
66,1.8986110087997152e-4,2.131342131164988e-8,FALSE,5.313353274277144
67,1.0918799983922764e-4,7.760559738806553e-9,FALSE,4.826214801166908
68,1.5184444492925847e-4,1.2709322470799136e-8,FALSE,5.699349504300084
69,1.2836327535525825e-4,1.1472131787800991e-8,FALSE,4.5121894485382805
70,1.294538920257373e-4,1.3440389692570768e-8,FALSE,3.9171322626349716
71,1.0525435956219089e-4,6.410897175535848e-9,FALSE,5.428892568045485
72,1.4326939013530426e-4,1.2146963069436342e-8,FALSE,5.308709808149431
73,1.8060134351394498e-4,2.1425893191922438e-8,FALSE,4.782477005464766
74,9.863476893862826e-5,7.535615978261434e-9,FALSE,4.055936784112302
75,1.8551656358234685e-4,1.940139934701638e-8,FALSE,5.572912185498412
76,9.485647274595787e-5,7.816795678942831e-9,FALSE,3.6162217595277997
77,1.0199827903063643e-4,7.591851918397715e-9,FALSE,4.305145488252632
78,1.824600684003971e-4,1.7489377382382883e-8,FALSE,5.980137784325301
79,9.77758141012775e-5,6.0172455945818925e-9,FALSE,4.991315430937098
80,1.2207589498387493e-4,1.2709322470799136e-8,FALSE,3.683725899120782
81,1.7312930454615961e-4,1.8220444604154514e-8,FALSE,5.168113840627651
82,2.0632645657589206e-4,2.1707072892603836e-8,FALSE,6.161102691107443
83,8.282985389716668e-5,4.836290851720026e-9,FALSE,4.456677950441267
84,1.4326939013530407e-4,1.5352411657204267e-8,FALSE,4.200297870184154
85,2.1474047338997183e-4,2.9523868571546666e-8,FALSE,4.906868525606928
86,1.750673795264911e-4,1.793926490347312e-8,FALSE,5.367297793750625
87,9.030067175697242e-5,5.398650253082819e-9,FALSE,4.745113903859566
88,1.9206971840818454e-4,2.3562858917101053e-8,FALSE,4.918579429009324
89,1.8137812707083353e-4,1.5971006998703338e-8,FALSE,6.471238388556443
90,2.562880763499825e-4,3.1604598356589e-8,FALSE,6.529146297852114
91,9.863476893862727e-5,6.18595341499073e-9,FALSE,4.940868446100341
92,1.6514972287622848e-4,1.231567088984518e-8,FALSE,6.9574083880868764
93,9.030067175697292e-5,5.398650253082819e-9,FALSE,4.745113903859617
94,2.1837599967845613e-4,1.8895275885789866e-8,FALSE,7.928781459059982
95,1.4267939700367805e-4,1.1303423967392153e-8,FALSE,5.657992739301031
96,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
97,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
98,1.5907914087436343e-4,1.698325392115637e-8,FALSE,4.681181106342379
99,9.030067175697249e-5,5.511122133355378e-9,FALSE,4.648274844597132
100,1.8384177985948625e-4,1.4677580375568914e-8,FALSE,7.234088830679926
101,1.456054581098433e-4,1.7433141442246602e-8,FALSE,3.8205820335592033
102,1.1471359985585548e-4,1.0403648925211683e-8,FALSE,3.973690167243292
103,1.545971363186227e-4,1.2821794351071696e-8,FALSE,5.856038937612572
104,2.367852029073403e-4,2.7161959085822932e-8,FALSE,6.484819618279529
105,2.7502243450907015e-4,4.425768488725186e-8,FALSE,5.369049706579763
106,2.546370730611118e-4,3.4978754764765765e-8,FALSE,5.823563230850521
107,1.1471359985585548e-4,8.885278541532139e-9,FALSE,4.652738486962083
108,1.3827588237409584e-4,1.0572356745620521e-8,FALSE,5.681603735215525
109,1.928003019449935e-4,2.193201665314895e-8,FALSE,5.324596779545779
110,1.2115106427749132e-4,1.0122469224530286e-8,FALSE,4.555309347705175
111,1.1148158040733742e-4,8.491626960578184e-9,FALSE,4.597960108896283
113,7.499062617172855e-5,4.105223629948394e-9,FALSE,4.303551580259993
114,9.863476893862655e-5,8.435391020441904e-9,FALSE,3.6233035271401977
115,2.5771039036279826e-4,3.632841732803647e-8,FALSE,5.743376043172667
116,1.9684146604284522e-4,1.9963758748379174e-8,FALSE,6.097344614995419
117,1.6565970779433464e-4,1.490252413611403e-8,FALSE,5.785272509252149
118,1.4424734954384224e-4,1.3102974051753093e-8,FALSE,4.988795200979509
119,2.0399655806127478e-4,2.569982464227967e-8,FALSE,5.087042808876291
120,1.739394601386313e-4,1.591477105856706e-8,FALSE,5.972356352054135
121,1.5072929315516922e-4,1.1359659907528432e-8,FALSE,6.2831853071796075
122,1.3581380034701708e-4,1.0347412985075403e-8,FALSE,5.600230382486087
123,1.5907914087436427e-4,1.428392879461496e-8,FALSE,5.565813756359896
124,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
125,1.358138003470162e-4,1.1359659907528432e-8,FALSE,5.101199952363499
126,1.1273563088393607e-4,9.110222302077257e-9,FALSE,4.382715677230186
127,1.3288372813400321e-4,1.3552861572843328e-8,FALSE,4.093195407581712
128,1.3827588237409668e-4,1.3946513153797282e-8,FALSE,4.3070221863731115
129,2.3832393823878007e-4,2.4293926138872685e-8,FALSE,7.344927268809431
130,2.799873221236509e-4,5.409897441110075e-8,FALSE,4.552370227758991
131,1.5165915572670958e-4,1.5633591357885662e-08,FALSE,4.621983436396512
132,8.282985389716754e-5,5.792301834036775e-9,FALSE,3.721109745028707
133,1.2836327535525825e-4,1.0009997344257727e-8,FALSE,5.171273300571962
134,1.0525435956219261e-4,6.298425295263289e-9,FALSE,5.525837078189335
135,2.277049336436289e-4,1.940139934701638e-8,FALSE,8.395792540897919
136,1.4009405093565376e-4,1.4058985034069841e-8,FALSE,4.3856633444113635
137,2.1474047338997183e-4,1.760184926265544e-8,FALSE,8.230370530171365
138,9.030067175697292e-5,5.792301834036775e-9,FALSE,4.422630434665274
139,2.6766506633033006e-4,2.9636340451819227e-8,FALSE,7.594666111334726
140,1.676841377952599e-4,1.2653086530662858e-8,FALSE,6.981317007977325
141,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
142,1.3581380034701794e-4,1.1640839608209829e-8,FALSE,4.977982562209919
143,8.282985389716754e-5,4.836290851720026e-9,FALSE,4.4566779504413585
144,1.0199827903063715e-4,8.772806661259581e-9,FALSE,3.7256066725263675
145,1.44247349543844e-4,1.4002749093933562e-8,FALSE,4.6682300475030285
146,1.0918799983922764e-4,9.391402002758654e-9,FALSE,3.9881295961738523
147,1.5459713631862197e-4,1.4508872555160076e-8,FALSE,5.175104177425015
148,2.2559593485551316e-4,3.1492126476316447e-8,FALSE,5.0770381276763725
149,1.0199827903063669e-4,7.591851918397715e-9,FALSE,4.305145488252653
150,1.0605276058291067e-4,8.154211319760509e-9,FALSE,4.333231246330864
151,7.499062617172855e-5,4.105223629948394e-9,FALSE,4.303551580259993
152,3.61902617533217e-4,5.3142963428784e-8,FALSE,7.742613005513851
153,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
154,1.3519127392065957e-4,1.0853536446301918e-8,FALSE,5.2902466964595005
155,2.3101495014247317e-4,2.7161959085822932e-8,FALSE,6.172611652705441
156,8.28298538971684e-5,4.836290851720026e-9,FALSE,4.456677950441453
157,7.499062617172866e-5,4.105223629948394e-9,FALSE,4.303551580260004
158,2.132952778901822e-4,2.0863533790559643e-8,FALSE,6.850534923865621
159,7.499062617172779e-5,4.105223629948394e-9,FALSE,4.303551580259905
160,1.0605276058290981e-4,7.591851918397715e-9,FALSE,4.654211338651592
161,1.8986110087997152e-4,2.581229652255223e-8,FALSE,4.387278629522958
162,1.0004997423416955e-4,6.579604995944686e-9,FALSE,4.779517028538444
163,9.030067175697292e-5,5.961009654445613e-9,FALSE,4.297461648778522
164,9.86347689386274e-5,7.310672217716318e-9,FALSE,4.180734839007993
165,2.5375214571711496e-4,4.110847223962022e-8,FALSE,4.920825702271296
166,1.6463815823097248e-4,1.5521119477613105e-8,FALSE,5.48640456170393
167,9.275828179117469e-5,6.523369055808406e-9,FALSE,4.143652379303887
168,9.030067175697284e-5,5.2861783728102605e-9,FALSE,4.846073774154495
169,2.1117552066484863e-4,1.855786024497219e-8,FALSE,7.549342346353718
170,1.576587629668434e-4,1.4396400674887517e-8,FALSE,5.424156065963591
171,3.19745115940425e-4,3.531617040558344e-8,FALSE,9.09461057997809
172,1.8246006840039717e-4,2.0807297850423366e-8,FALSE,5.026548245743704
173,1.6650621155736296e-4,1.9907522808242897e-8,FALSE,4.375155870677244
174,1.442473495438423e-4,1.501499601638659e-8,FALSE,4.353517909469013
175,1.0605276058290894e-4,8.716570721123301e-9,FALSE,4.0536679401158375
176,2.1953177605255953e-4,2.0863533790559643e-8,FALSE,7.256994350745116
177,7.536464657758374e-5,4.7238189714474665e-9,FALSE,3.777391166816225
178,1.6650621155736426e-4,2.221319635383035e-8,FALSE,3.9210257676449842
179,7.499062617172866e-5,4.105223629948394e-9,FALSE,4.303551580260004
180,2.404382383484271e-4,3.036740767359086e-8,FALSE,5.9806615701672206
181,2.0177913831381794e-4,2.8905273230047595e-8,FALSE,4.425122726068179
182,1.6514972287622978e-4,1.41714569143424e-8,FALSE,6.046319194408928
183,1.0605276058290894e-4,7.816795678942831e-9,FALSE,4.520277199409747
184,1.3288372813400346e-4,1.1697075548346108e-8,FALSE,4.742596602053829
185,2.619309965740229e-4,4.5719819330795126e-8,FALSE,4.714321079187633
186,1.7650697106771438e-4,2.136965725178616e-8,FALSE,4.580111394970411
187,3.644575292155342e-4,4.746313347501978e-8,FALSE,8.79199271063874
188,9.777581410127643e-5,7.254436277580038e-9,FALSE,4.140083341939984
189,1.0737023669498719e-4,9.110222302077257e-9,FALSE,3.9754721850982997
190,1.5295146647447455e-4,1.7826793023200558e-8,FALSE,4.12272095865413
191,1.4998125234345688e-4,1.152836772793727e-8,FALSE,6.129936885053239
192,1.9626925126812745e-4,2.0076230628651734e-8,FALSE,6.0279859039467985
193,1.4009405093565354e-4,1.0741064566029359e-8,FALSE,5.740397047658834
194,2.6289536022434354e-4,3.6890776729399265e-8,FALSE,5.885697212289416
195,7.499062617172952e-5,4.105223629948394e-9,FALSE,4.3035515802601045
196,3.7495313085864225e-4,5.246813214714865e-8,FALSE,8.417986745953339
197,9.863476893862698e-5,6.804548756489803e-9,FALSE,4.4916985873639215
198,8.282985389716668e-5,4.836290851720026e-9,FALSE,4.456677950441267
199,1.4009405093565365e-4,1.0066233284394006e-8,FALSE,6.1252281346527315
200,9.86347689386274e-5,6.298425295263289e-9,FALSE,4.8526386524199925
201,2.703825478413189e-4,2.8230441948412243e-8,FALSE,8.135598505312206
202,9.2758281791173e-5,6.523369055808406e-9,FALSE,4.143652379303738
203,2.1342706367840587e-4,2.136965725178616e-8,FALSE,6.6965527615993
204,8.282985389716729e-5,4.836290851720026e-9,FALSE,4.456677950441332
205,8.28298538971684e-5,5.511122133355378e-9,FALSE,3.9109622830404582
206,1.5907914087436384e-4,1.4452636615023797e-8,FALSE,5.500843167764225
207,9.12300342001982e-5,6.24218935512701e-9,FALSE,4.188790204786383
208,1.294538920257373e-4,1.2540614650390299e-8,FALSE,4.198182111075148
209,2.637496122245071e-4,3.0704823314408534e-8,FALSE,7.117491048517565
210,1.3288372813400335e-4,1.2765558410935415e-8,FALSE,4.345639177212312
211,1.0737023669498591e-4,8.435391020441904e-9,FALSE,4.2935099599060615
212,8.11147643523963e-5,5.511122133355378e-9,FALSE,3.750676943571542
213,7.499062617172866e-5,4.105223629948394e-9,FALSE,4.303551580260004
214,1.5907914087436378e-4,1.6477130459929855e-8,FALSE,4.824971652271007
215,7.536464657758461e-5,4.7238189714474665e-9,FALSE,3.777391166816312
216,2.111755206648471e-4,1.973881498783406e-8,FALSE,7.097672291443562
217,1.1348140945198038e-4,7.760559738806553e-9,FALSE,5.21322259182656
218,1.442473495438422e-4,1.242814277011774e-8,FALSE,5.259680008272512
219,1.6514972287622978e-4,1.6252186699384737e-8,FALSE,5.272222965366955
220,1.0525435956219089e-4,7.14196439730748e-9,FALSE,4.873179155568388
221,1.6497937757780322e-4,1.591477105856706e-8,FALSE,5.372900510026388
222,1.618825132727625e-4,1.4733816315705194e-8,FALSE,5.587718231194047
223,4.678958377144815e-4,9.307048092554235e-8,FALSE,7.38986114829312
224,1.9118933309309182e-4,1.4002749093933562e-8,FALSE,8.20094467804556
225,2.6289536022434343e-4,3.8577854933487644e-8,FALSE,5.628305205921069
226,9.777581410127763e-5,6.579604995944686e-9,FALSE,4.564707274446761
227,2.3961822735163864e-4,2.131342131164988e-8,FALSE,8.46323509054142
228,1.2299377177995267e-4,1.0234941104802845e-8,FALSE,4.64334298799808
229,7.499062617172866e-5,4.105223629948394e-9,FALSE,4.303551580260004
230,1.4733320363245975e-4,1.4846288195977752e-8,FALSE,4.593389258657807
231,2.179893791338376e-4,2.2944263575601982e-8,FALSE,6.506484785008262
232,1.6514972287623022e-4,1.4565108495296356e-8,FALSE,5.882905162127636
233,1.2836327535525847e-4,1.1247188027255873e-8,FALSE,4.602433237509061
